title,genre,producer,country,country_duble,year,year_duble,imdb
Балкон,"Жанры игрового кино,Драма (жанр),Семейный фильм","(['Бейнорюте, Гедре (страница отсутствует)'],)",Литва,,,2008,7.6
Балкон,"Жанры игрового кино,Драматический фильм","(['Салыков, Калыкбек Садыкович (страница отсутствует)'],)",,,,1988,7.0
Балкон,"Жанры игрового кино,Драма (жанр)","(['Джозеф Стрик (страница отсутствует)'],)",США,,,1963,6.0
Балканский экспресс,"Жанры игрового кино,Военный фильм,Кинокомедия","(['Балетич, Бранко (страница отсутствует)'],)",Югославия,,,1983,7.7
Балканский шпион,"Жанры игрового кино,Драма (жанр),Кинокомедия","(['Ковачевич, Душан'],)",Югославия,,,1984,8.8
Балканский рубеж,"Жанры игрового кино,Военный фильм,Драматический боевик","(['Волгин, Андрей Андреевич'],)","Россия,Сербия",,,,6.6
Балканский мальчик,"Жанры игрового кино,Драма (жанр)","(['Светозар Ристовский (страница отсутствует)'],)",,,,2004,7.5
Балибо,"Жанры игрового кино,Драма (жанр)","(['Роберт Коннолли (страница отсутствует)'],)",Австралия,,,2009,7.0
Балетные туфельки,"Жанры игрового кино,Драма (жанр),Семейный фильм","([],)",,Великобритания,,,6.6
Балет пуль,"Жанры игрового кино,Драма (жанр),Триллер","(['Цукамото, Синъя'],)",Япония,,,1998,6.9
Балерина,"Жанры игрового кино,Драма (жанр)","(['Згуриди, Александр Михайлович'],)",Россия,,,1993,5.7
Балда,"Жанры игрового кино,Комедия","(['Смит, Уинчел (страница отсутствует)'],)",,Соединённые Штаты Америки,,1920,6.1
Балбесы,"Жанры игрового кино,Приключенческий фильм,Кинокомедия","(['Доннер, Ричард'],)",США,,,1985,7.7
Баламут,"Жанры игрового кино,Кинокомедия","(['Роговой, Владимир Абрамович'],)",СССР,,,1978,6.8
Балалайка,"Жанры игрового кино,Драма (жанр)","(['Озгентюрк, Али'],)",Турция,,,2000,6.3
Балалайка,"Жанры игрового кино,Мюзикл,Мелодрама","(['Шюнцель, Райнхольд (страница отсутствует)'],)",,Соединённые Штаты Америки,1939,,6.2
Балаган,"Жанры игрового кино,Трагикомедия","(['Бенкендорф, Андрей Александрович (кинорежиссёр)'],)",СССР,,,1990,6.5
Бала,"Жанры игрового кино,Документальное кино","([],)",,Индия,,1976,7.5
Бал-маскарад,"Жанры игрового кино,Драматический фильм,Немой кинематограф","(['Деэши, Альфред'],)",Австро-Венгрия,,,1917,8.6
Бал пожарных,"Жанры игрового кино,Кинокомедия,Драма (жанр)","(['Форман, Милош'],)",,,,1967,7.4
Бал официантов,"Жанры игрового кино,Кинокомедия","([],)",,,,1916,6.8
Бал монстров,"Жанры игрового кино,Драма (жанр),Мелодрама","(['Форстер, Марк'],)",США,,,2001,7.1
Бал вампиров,"Жанры игрового кино,Кинокомедия,Фильм ужасов","(['Роман Полански'],)","Великобритания,США",,,1967,7.0
Бал в доме Андзё,"Жанры игрового кино,Драма (фильм)","(['Кодзабуро Ёсимура'],)","Япония,[en],[en]",,,,7.4
Бал безумных женщин,"Жанры игрового кино,Драматический фильм","(['Мелани Лоран'],)",,Франция,2021,,6.6
Бал,"Жанры игрового кино,Музыкальный фильм,Исторический фильм","(['Скола, Этторе'],)","Франция,Италия,Алжир",,,1983,7.7
Бакстер,"Жанры игрового кино,Романтическая комедия,Сатира","(['Шоуолтер, Майкл'],)",США,,,2005,6.5
Бакуки,"Жанры игрового кино,Исторический фильм","(['Виктор Турин'],)",СССР,,"Рза Афганлы,Борис Байков,Васо Годзиашвили,Ваче Багратуни,Алисаттар Меликов,Мустафа Марданов,Андрей Костричкин,Мовсун Санани",", ,, ,, ,, ,, ,, ,, ,1938",5.5
Баки Ларсон: Рождённый быть звездой,"Жанры игрового кино,Кинокомедия","(['Брейди, Том (режиссёр)'],)",США,,,2011,3.3
Бакенбарды,"Жанры игрового кино,Кинокомедия","(['Мамин, Юрий Борисович'],)",СССР,,,1990,7.5
Бак Роджерс в XXV веке,"Жанры игрового кино,Боевик (киножанр),Научно-фантастический фильм,Приключенческий фильм","([],)",,Соединённые Штаты Америки,"30 марта,1979,12 июля,1979,25 июля,1979,26 июля,1979,26 июля,1979,30 июля,1979,31 августа,1979,13 сентября,1979,12 октября,1979,17 декабря,1979,21 января,1980"," , , , , , , , , , , ",6.5
Байрон,"Жанры игрового кино,Драма (жанр)","(['Фарино, Джулиан'],)",,Великобритания,,,7.0
Байки у костра,"Жанры игрового кино,Фильм ужасов","(['Кунерт, Мартин (страница отсутствует)', 'Семел, Дэвид'],)",США,,,1997,5.8
Кровавый бордель,"Жанры игрового кино,Фильм ужасов,Комедия","(['Гилберт Адлер'],)",,,,1996,5.4
Байки из склепа: Демон ночи,"Жанры игрового кино,Фильм ужасов,Комедия","(['Эрнест Дикерсон', 'Гилберт Адлер'],)",США,,,1995,6.7
Байки из склепа,"Жанры игрового кино,Комедия ужасов","(['Фредди Фрэнсис'],)","США,Великобритания",,,1972,6.9
Байкеры 3,"Жанры игрового кино,Боевик (киножанр),Триллер","(['en:Vijay Krishna Acharya'],)",,Индия,,2013,5.4
Байкеры 2: Настоящие чувства,"Жанры игрового кино,Боевик (киножанр),Триллер,Мелодрама,Музыкальный жанр,Саундтрек","(['Гадхви, Санджай (страница отсутствует)'],)","Индия,Индия",,,2006,6.5
Байкеры,"Жанры игрового кино,Боевик (киножанр),Кинокомедия,Музыкальный жанр,Саундтрек","(['Гадхви, Санджай (страница отсутствует)'],)","Индия,Индия",,,2004,6.6
Байкеры,"Жанры игрового кино,Мелодрама,Боевик (киножанр)","(['Байтвуд, Реджи Рок (страница отсутствует)'],)",США,,,2003,4.6
Байкеры,"Жанры игрового кино,Боевик (киножанр)","([],)",Канада,,,2000,7.0
Байкерши в городе зомби,"Жанры игрового кино,Чёрная комедия","(['Дэн Хоскинс (страница отсутствует)'],)",США,,1989,,4.1
Байкер-убийца,"Жанры игрового кино,Боевик (киножанр)","(['Том Каллоуэй (страница отсутствует)'],)",США,,,1999,3.4
Байка,"Жанры игрового кино,Драма (жанр)","([],)",СССР,,,1987,6.6
Байджу Бавра,"Жанры игрового кино,Музыкальный фильм,Драма (жанр)","(['Бхатт, Виджай'],)",,Индия,,1952,7.4
БайБайМэн,"Жанры игрового кино,Фильм ужасов о сверхъестественном","([],)",США,,,,4.3
База мёртвых людей,Жанры игрового кино,"(['Петельский, Чеслав'],)",,,,1958,7.4
База,"Жанры игрового кино,Боевик (киножанр),Драма (жанр)","(['Лестер, Марк (режиссёр)'],)",США,,,1999,4.6
База «Клейтон»,"Жанры игрового кино,Боевик (киножанр),Триллер","(['Джон Мактирнан'],)",США,,,2003,6.4
Бадья крови,"Жанры игрового кино,Кинокомедия,Триллер","(['Роджер Корман'],)",США,,,1959,6.7
Баджирао и Мастани,"Жанры игрового кино,Биографический фильм,Драматический фильм,Боевик (киножанр),Романтический фильм,Исторический фильм","(['Бхансали, Санджай Лила'],)",,Индия,,2015,7.2
Багси Мэлоун,"Жанры игрового кино,Кинокомедия,Криминальный фильм,Семейный фильм,Мюзикл","(['Алан Паркер'],)",Великобритания,,,1976,6.8
Багси,"Жанры игрового кино,Байопик,Гангстерский фильм","(['Левинсон, Барри'],)",США,,,1991,6.8
Багряный занавес,"Жанры игрового кино,Драма (жанр)","(['Астрюк, Александр'],)",Франция,,,1952,6.9
Багровый цвет снегопада,"Жанры игрового кино,Драма (жанр)","(['Мотыль, Владимир Яковлевич'],)",Россия,,,2009,5.5
Багровый прилив,"Жанры игрового кино,Драма (жанр),Триллер","(['Скотт, Тони'],)",США,,,1995,7.3
Багровый пик,"Жанры игрового кино,Фильм ужасов,Готическое кино,Мелодрама","(['Дель Торо, Гильермо'],)","США,Канада",,,2015,6.5
Багровый коготь,"Жанры игрового кино,Детективный фильм","(['Нил, Рой Уильям'],)",,Соединённые Штаты Америки,"1944,18 мая,1944,26 мая,1944"," , ",7.2
Багровые реки 2: Ангелы апокалипсиса,"Жанры игрового кино,Триллер","(['Оливье Даан'],)","Франция,Великобритания,Италия",,"2004,8 апреля,2004", ,5.9
Багровые реки,"Жанры игрового кино,Триллер,Драма (жанр),Фильм ужасов","(['Кассовиц, Матьё'],)",Франция,,,2000,6.9
